Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,AFFORDABLE Dessert Table & Pastries| Birthday | Wedding | 100 days | 1 month | Baby shower | Event decorations | Pastries | Rental Table Chair | Rental Backdrop | Birthday Cake | Pastries | Balloon | Garland,https://www.carousell.sg/p/affordable-dessert-table-pastries-birthday-wedding-100-days-1-month-baby-shower-event-decorations-pastries-rental-table-chair-rental-backdrop-birthday-cake-pastries-balloon-garland-1257070737/,S$130,,,
,[SG FREE 🚚] Adjustable Baby Rocking Chair | Infant Cradle with Breathable Mesh & Reclining Backrest,https://www.carousell.sg/p/sg-free-🚚-adjustable-baby-rocking-chair-infant-cradle-with-breathable-mesh-reclining-backrest-1388120553/,S$38.90,,,
,"【SG STOCK】 Folding baby high chair, multi-functional baby high chair, adjustable height, back and tray folding feeding chair 3 in 1 baby high chair",https://www.carousell.sg/p/【sg-stock】-folding-baby-high-chair-multi-functional-baby-high-chair-adjustable-height-back-and-tray-folding-feeding-chair-3-in-1-baby-high-chair-1388120369/,S$78,,,
,Ready Stock Baby Foldable Rocking Swinging High Chair,https://www.carousell.sg/p/ready-stock-baby-foldable-rocking-swinging-high-chair-1357682004/,S$105,,,
,Baby high chair cushion,https://www.carousell.sg/p/baby-high-chair-cushion-1376101653/,S$8,,,
,Ready Stock Foldable Baby High Chair,https://www.carousell.sg/p/ready-stock-foldable-baby-high-chair-1222293024/,S$45,,,
,Ready Stock Mesh Baby Rocker Rocking Chair,https://www.carousell.sg/p/ready-stock-mesh-baby-rocker-rocking-chair-1358021244/,S$45,,,
,Shhh baby sleeping signage door sign chair sign hanging door frame plaque pendant rustic room decoration keep out warning sign do not disturb signage,https://www.carousell.sg/p/shhh-baby-sleeping-signage-door-sign-chair-sign-hanging-door-frame-plaque-pendant-rustic-room-decoration-keep-out-warning-sign-do-not-disturb-signage-1197105691/,S$22.90,,,
,Ready Stock Foldable Reclining Baby Chair with Wheels,https://www.carousell.sg/p/ready-stock-foldable-reclining-baby-chair-with-wheels-1289285854/,S$75,,,
,TP-Lucky Baby Goodee Adjustable Tray Baby Dining Chair,https://www.carousell.sg/p/tp-lucky-baby-goodee-adjustable-tray-baby-dining-chair-1387296999/,S$22,,,
,[BRAND NEW] Foldable Baby High Chair Convertible / Baby Pram,https://www.carousell.sg/p/brand-new-foldable-baby-high-chair-convertible-baby-pram-1343278745/,S$49,,,
,Ready Stock Foldable Reclining Baby Chair,https://www.carousell.sg/p/ready-stock-foldable-reclining-baby-chair-1357707135/,S$79,,,
,Lucky Baby Multi-Functional Block Table & Chair Set,https://www.carousell.sg/p/lucky-baby-multi-functional-block-table-chair-set-1386624144/,S$37,,,
,Inflatable Baby Chair Sofa Training Seat,https://www.carousell.sg/p/inflatable-baby-chair-sofa-training-seat-1386484867/,S$10,,,
,Ready Stock 6-in-1 Infant Baby Rocker Chair,https://www.carousell.sg/p/ready-stock-6-in-1-infant-baby-rocker-chair-1343017141/,S$69,,,
,Baby Items (disposable high chair cover),https://www.carousell.sg/p/baby-items-disposable-high-chair-cover-1385269965/,S$10,,,
