Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Ready Stock Mesh Baby Rocker Rocking Chair S$45 Brand new,https://www.carousell.sg/p/ready-stock-mesh-baby-rocker-rocking-chair-1358021244/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=13,S$45,,,
,Buyer Protection Winnie The Pooh Baby Rocking Chair S$100 S$130 Brand new,https://www.carousell.sg/p/winnie-the-pooh-baby-rocking-chair-1370249467/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=14,S$100,,,
,Buyer Protection Leather Reclining Adjustable Waterproof High Chair Baby Child Kids Booster Dining FeedingSupport Seat S$42 Brand new Free delivery,https://www.carousell.sg/p/leather-reclining-adjustable-waterproof-high-chair-baby-child-kids-booster-dining-feedingsupport-seat-1387634013/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=15,S$42,,,
,Buyer Protection Lucky Baby Viner Urban Highchair - Grey S$60 Brand new,https://www.carousell.sg/p/lucky-baby-viner-urban-highchair-grey-1387588029/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=16,S$60,,,
,Buyer Protection Baby High Chair Tray - White S$20 Brand new,https://www.carousell.sg/p/baby-high-chair-tray-white-1387563682/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=17,S$20,,,
,Buyer Protection Baby Stroller Push chair Pram Universal Waterproof Wind Dust Shield Rain Cover S$29 Brand new,https://www.carousell.sg/p/baby-stroller-push-chair-pram-universal-waterproof-wind-dust-shield-rain-cover-1387484783/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=18,S$29,,,
,Shhh baby sleeping signage door sign chair sign hanging door frame plaque pendant rustic room decoration keep out warning sign do not disturb signage S$22.90 Brand new,https://www.carousell.sg/p/shhh-baby-sleeping-signage-door-sign-chair-sign-hanging-door-frame-plaque-pendant-rustic-room-decoration-keep-out-warning-sign-do-not-disturb-signage-1197105691/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=19,S$22.90,,,
,Your browser does not support HTML5 video. Ready Stock Foldable Reclining Baby Chair with Wheels S$75 Brand new,https://www.carousell.sg/p/ready-stock-foldable-reclining-baby-chair-with-wheels-1289285854/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=20,S$75,,,
,Buyer Protection Baby rocking chair S$23 S$25 Brand new,https://www.carousell.sg/p/baby-rocking-chair-1369728657/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=21,S$23,,,
,TP-Lucky Baby Goodee Adjustable Tray Baby Dining Chair S$22 Brand new,https://www.carousell.sg/p/tp-lucky-baby-goodee-adjustable-tray-baby-dining-chair-1387296999/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=22,S$22,,,
