Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Baby High Chair,https://sg.carousell.com/p/baby-high-chair-1388277486/,S$20,,,
,Baby Shell Chair,https://sg.carousell.com/p/baby-shell-chair-1388269902/,S$60,,,
,AFFORDABLE Dessert Table & Pastries| Birthday | Wedding | 100 days | 1 month | Baby shower | Event decorations | Pastries | Rental Table Chair | Rental Backdrop | Birthday Cake | Pastries | Balloon | Garland,https://sg.carousell.com/p/affordable-dessert-table-pastries-birthday-wedding-100-days-1-month-baby-shower-event-decorations-pastries-rental-table-chair-rental-backdrop-birthday-cake-pastries-balloon-garland-1257070737/,S$130,,,
,IKEA baby chair,https://sg.carousell.com/p/ikea-baby-chair-1370722229/,S$20,,,
,Baby High Chair,https://sg.carousell.com/p/baby-high-chair-1376239553/,S$5,,,
,Baby high chair,https://sg.carousell.com/p/baby-high-chair-1388215692/,S$27,,,
,IKEA baby chair with cushion,https://sg.carousell.com/p/ikea-baby-chair-with-cushion-1388211675/,S$10,,,
,Baby High Chair - Blue and White,https://sg.carousell.com/p/baby-high-chair-blue-and-white-1388195269/,S$15,,,
,Baby dining chair 宝宝餐椅,https://sg.carousell.com/p/baby-dining-chair-宝宝餐椅-1363412211/,S$50,,,
,KOVAN PICK UP - pink mesh babybjorn bouncer chair,https://sg.carousell.com/p/kovan-pick-up-pink-mesh-babybjorn-bouncer-chair-1388144595/,S$110,,,
,[SG FREE 🚚] Adjustable Baby Rocking Chair | Infant Cradle with Breathable Mesh & Reclining Backrest,https://sg.carousell.com/p/sg-free-🚚-adjustable-baby-rocking-chair-infant-cradle-with-breathable-mesh-reclining-backrest-1388120553/,S$38.90,,,
,"【SG STOCK】 Folding baby high chair, multi-functional baby high chair, adjustable height, back and tray folding feeding chair 3 in 1 baby high chair",https://sg.carousell.com/p/【sg-stock】-folding-baby-high-chair-multi-functional-baby-high-chair-adjustable-height-back-and-tray-folding-feeding-chair-3-in-1-baby-high-chair-1388120369/,S$78,,,
,Baby High Chair Wooden,https://sg.carousell.com/p/baby-high-chair-wooden-1381906027/,S$90,,,
,Baby Rocking Chair,https://sg.carousell.com/p/baby-rocking-chair-1388078633/,S$15,,,
,Ready Stock Baby Foldable Rocking Swinging High Chair,https://sg.carousell.com/p/ready-stock-baby-foldable-rocking-swinging-high-chair-1357682004/,S$105,,,
,Baby High Chair - Mint Green,https://sg.carousell.com/p/baby-high-chair-mint-green-1388035201/,S$35,,,
,Combi Baby Rocking Chair & Wooden Baby Cot,https://sg.carousell.com/p/combi-baby-rocking-chair-wooden-baby-cot-1387983650/,S$20,,,
,Baby high chair cushion,https://sg.carousell.com/p/baby-high-chair-cushion-1376101653/,S$8,,,
,Ready Stock Foldable Baby High Chair,https://sg.carousell.com/p/ready-stock-foldable-baby-high-chair-1222293024/,S$45,,,
,Ready Stock Mesh Baby Rocker Rocking Chair,https://sg.carousell.com/p/ready-stock-mesh-baby-rocker-rocking-chair-1358021244/,S$45,,,
,Ikea - Baby High Chair - White,https://sg.carousell.com/p/ikea-baby-high-chair-white-1387850385/,S$10,,,
,IKEA Pink Baby High Chair,https://sg.carousell.com/p/ikea-pink-baby-high-chair-1387758891/,S$5,,,
,Ikea baby chair with Wooden leg Frame,https://sg.carousell.com/p/ikea-baby-chair-with-wooden-leg-frame-1387739643/,S$10,,,
