Date,Item,Price,keyword_score,heuristic_score,Relevance_Weight
2025-09-01,Apple AirPods Max S$628 Like new,S$628,0.8,0.8,0.8
2025-08-31,Apple Airpods Max S$729 Like new,S$729,0.8,0.8,0.8
2025-08-30,Buyer Protection Apple AirPods Max - purple S$50 Like new,S$50,0.6,0.6,0.6
2025-08-23,Apple AirPods Max - Space Gray S$400 Like new,S$400,0.6,0.6,0.6
2025-08-24,Apple AirPods Max - Space Gray S$450 Like new,S$450,0.6,0.6,0.6
2025-08-29,Buyer Protection Apple AirPods Max - White S$310 Like new,S$310,0.5,0.5,0.5
2025-08-20,Buyer Protection Apple AirPods Max - Midnight S$550 Like new,S$550,0.5,0.5,0.5
2025-08-15,Buyer Protection Apple AirPods Max - Silver S$400 Like new,S$400,0.5,0.5,0.5
2025-08-09,F4ke Apple AirPods Max - Space Gray S$150 Like new,S$150,0.5,0.5,0.5
2025-08-26,[still available] Apple AirPods Max BOX ONLY S$10 Like new,S$10,0.5,0.5,0.5
2025-08-27,Buyer Protection Apple AirPods Max - Purple S$420 Like new,S$420,0.5,0.5,0.5
2025-08-29,Buyer Protection Apple AirPods Max - Silver S$420 Like new,S$420,0.5,0.5,0.5
2025-09-02,Buyer Protection Apple AirPods Max Midnight - Brand New S$700 Like new,S$700,0.5,0.5,0.5
2025-09-02,Buyer Protection Apple AirPods Max - Orange S$230 Like new,S$230,0.5,0.5,0.5
2025-08-17,AirPods Max S$600 Like new,S$600,0.4666666666666666,0.4666666666666666,0.4666666666666666
2025-08-13,Buyer Protection Apple AirPods Max (2025) - with Apple Care+ S$600 Like new,S$600,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-11,Buyer Protection Apple AirPods Max - Space Grey - Brand New S$600 Like new,S$600,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-15,Buyer Protection Apple AirPods Max - Space Gray S$350 Like new,S$350,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-31,Buyer Protection Apple AirPods Max - Space Grey S$500 Like new,S$500,0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-09-02,"Apple AirPods Pro, iPhone 13 pro max, Apple Watch SE Bundle S$1,050 Like new","S$1,050",0.3999999999999999,0.3999999999999999,0.3999999999999999
2025-08-31,Buyer Protection Apple Airpods Pro Max S$450 S$500 Like new,S$450,0.3999999999999999,0.3999999999999999,0.3999999999999999
